link,name,company,position
https://ces.techhttps://www.ces.tech/conference/speaker-directory/894504,Atishay Abbhi,World Bank Group,Disaster Risk Management Specialist
https://ces.techhttps://www.ces.tech/conference/speaker-directory/843827,Dina Abdelrazik,Parks Associates,Sr. Analyst
https://ces.techhttps://www.ces.tech/conference/speaker-directory/892340,Combiz Abdolrahimi,Deloitte,Emerging Technology & Innovation Leader
https://ces.techhttps://www.ces.tech/conference/speaker-directory/881375,Alicia Abella,AT&T,VP
https://ces.techhttps://www.ces.tech/conference/speaker-directory/843764,"Amy Abernethy, M.D., Ph.D.",FDA,Principal Deputy Commissioner of Food and Drugs
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888383,Freddy Abnousi,Facebook,"Head of Healthcare, Research"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/892636,Jason Acker,Diageo,Digital Director 
https://ces.techhttps://www.ces.tech/conference/speaker-directory/882242,Charlie Ackerman,Bosch,Senior Vice-President Human Resources - North America
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890390,Florian Adamski,,
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890112,Rob Aitken,Deloitte Consulting LLP,"Managing Director, Monitor Deloitte"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/887291,Raul Aldrey,MediaKind,Chief Business Officer
https://ces.techhttps://www.ces.tech/conference/speaker-directory/885459,Mustafa Al-Hiti,Government of Iraq,President of the Reconstruction Fund
https://ces.techhttps://www.ces.tech/conference/speaker-directory/889449,Mohammed Alkali,North East Development Commission (NEDC),Managing Director/CEO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/867745,Larry Allen,WarnerMedia Ad Sales,"Vice President, Ad Product Strategy"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/884021,Mike Allen,Axios,
https://ces.techhttps://www.ces.tech/conference/speaker-directory/884271,Eric Allison,Uber,Head of Uber Elevate
https://ces.techhttps://www.ces.tech/conference/speaker-directory/843654,Manolo Almagro,Q Division,Managing Partner
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890173,Lylah Alphonse,U.S. News & World Report,"Managing Editor, Government Rankings/News"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888990,Gustavo Alvarado,Activision,Senior Director Global Media
https://ces.techhttps://www.ces.tech/conference/speaker-directory/883691,Saleema Amershi,Microsoft Research AI,Principal Researcher
https://ces.techhttps://www.ces.tech/conference/speaker-directory/843507,Nisa Amoils,Grasshopper Capital,partner
https://ces.techhttps://www.ces.tech/conference/speaker-directory/884218,Cristiano Amon,Qualcomm Incorporated ,President
https://ces.techhttps://www.ces.tech/conference/speaker-directory/889584,Sterling Anderson,Aurora,Co-Founder & Chief Product Officer
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890779,Jay Anderson,The Estée Lauder Companies,"Senior Vice President, Global Brand Technologies"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/882983,Melissa Andresko,"Lutron Electronics Co., Inc.",Chief Corporate Brand Ambassador
https://ces.techhttps://www.ces.tech/conference/speaker-directory/860461,Brandon Andrews ,Values Partnerships,Senior Consultant
https://ces.techhttps://www.ces.tech/conference/speaker-directory/889237,Dennis Andrucyk,NASA's Science Mission Directorate ,Deputy Associate Administrator
https://ces.techhttps://www.ces.tech/conference/speaker-directory/882045,Colin Angle,iRobot,"Chairman, CEO, Founder"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890357,Justin Antony,Instagram,Head of Content and Creator Partnerships
https://ces.techhttps://www.ces.tech/conference/speaker-directory/885421,Eric Aquaronne,IBM,WW Systems Strategy and IBM Q Ambassador
https://ces.techhttps://www.ces.tech/conference/speaker-directory/868427,Audrey Arbeeny,Audiobrain,CEO/Founder
https://ces.techhttps://www.ces.tech/conference/speaker-directory/883393,Ben Arnold,The NPD Group,"Executive Director, Industry Analyst - Consumer Technology"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/882953,Rahul Ashok,GenesInk,Business Development Manager
https://ces.techhttps://www.ces.tech/conference/speaker-directory/883896,Jacob Atalla,KB Home,Vice President of Innovation & Sustainability
